Response ID,Start Date,End Date,Status,Source Type,InteractPedestrian,InteractBicycle,CircumstancesCoded,FeelingsProvingGround,SafetyHuman,SafetyAV,AVSafetyPotential,RegulationTesting,RegulationSpeed,RegulationSchoolZone,RegulationShareData,AdvocacyIssues,BikePghPosition,PayingAttentionAV,FamiliarityTechnoology,ZipCode
259956637,02/15/2017 8:58:28 PM PST,02/15/2017 9:02:44 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,1,5,Yes,No,No,No,No,Strongly Disagree,Actively Support,To a moderate extent,Somewhat familiar,15217
259996557,02/16/2017 2:02:38 AM PST,02/16/2017 2:06:08 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,4,Maybe,No,No,No,Yes,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15214
260006143,02/16/2017 3:46:08 AM PST,02/16/2017 3:51:10 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,3,Yes,Yes,No,No,No,Neutral,Neither Support nor Oppose,To little extent,Somewhat familiar,15212
260009968,02/16/2017 5:17:17 AM PST,02/16/2017 5:27:38 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Yes,Not sure,No,Yes,Agree,Actively Support,To a large extent,Somewhat familiar,15212
260012019,02/16/2017 5:51:10 AM PST,02/16/2017 5:55:45 AM PST,COMPLETE,Survey Link,Yes,No,2,Somewhat Approve,3,4,Yes,Not sure,Not sure,Not sure,Not sure,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15206
260013556,02/16/2017 6:09:53 AM PST,02/16/2017 6:22:09 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,4,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15219
260015677,02/16/2017 6:38:16 AM PST,02/16/2017 6:45:17 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,5,Yes,No,No,No,Yes,Neutral,Actively Support,To a moderate extent,Mostly Unfamiliar,15217
260018306,02/16/2017 7:30:25 AM PST,02/16/2017 8:13:53 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,3,3,Not sure,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To some extent,Somewhat familiar,15226
260020988,02/16/2017 8:20:14 AM PST,02/16/2017 8:24:56 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,5,Yes,Not sure,No,Not sure,Yes,Strongly Disagree,Actively Support,To a large extent,Extremely familiar,15206
260021247,02/16/2017 8:25:46 AM PST,02/16/2017 8:30:18 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,4,Yes,Yes,Not sure,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15232
260022011,02/16/2017 8:36:26 AM PST,02/16/2017 8:47:52 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,2,4,Yes,Yes,No,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15201
260028102,02/16/2017 10:18:05 AM PST,02/16/2017 10:32:15 AM PST,COMPLETE,Survey Link,Not sure,Yes,2,Somewhat Approve,3,3,Yes,Yes,No,No,No,Neutral,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15213
260029298,02/16/2017 10:36:19 AM PST,02/16/2017 10:43:25 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,4,5,Yes,Yes,Not sure,No,No,Agree,Actively Support,To a large extent,Mostly familiar,15208
260035013,02/16/2017 11:51:36 AM PST,02/16/2017 11:56:17 AM PST,COMPLETE,Survey Link,Yes,No,2,Somewhat Approve,3,No experience,Maybe,Yes,Not sure,Not sure,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15237
260057328,02/16/2017 11:32:59 PM PST,02/16/2017 11:39:47 PM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,2,3,Yes,Yes,Yes,Not sure,Yes,Strongly Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15216
260069024,02/17/2017 10:41:50 AM PST,02/17/2017 10:50:42 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,2,No experience,Maybe,Not sure,Yes,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Mostly familiar,15212
260069468,02/17/2017 11:07:29 AM PST,02/17/2017 11:16:31 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,3,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15201
260070384,02/17/2017 12:02:06 PM PST,02/17/2017 12:26:42 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,5,Yes,No,No,No,No,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
260070999,02/17/2017 12:32:20 PM PST,02/17/2017 12:36:55 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,4,Yes,Yes,Yes,Not sure,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15232
260077739,02/17/2017 4:36:21 PM PST,02/17/2017 4:40:51 PM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,1,4,Yes,Yes,No,No,No,Disagree,Actively Support,To a large extent,Extremely familiar,15217
260078259,02/17/2017 5:03:21 PM PST,02/17/2017 5:12:28 PM PST,COMPLETE,Survey Link,Yes,No,2,Somewhat Approve,4,3,Maybe,Yes,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To little extent,Not familiar at all,15208
260112328,02/18/2017 9:09:36 AM PST,02/18/2017 9:12:31 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,2,3,Maybe,Yes,Not sure,Not sure,Yes,Disagree,No Opinion,To some extent,Mostly Unfamiliar,15213
260165325,02/20/2017 6:05:01 AM PST,02/20/2017 6:07:39 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Approve,3,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15212
260165327,02/20/2017 6:05:04 AM PST,02/20/2017 6:09:01 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,4,3,Not sure,Yes,Not sure,Yes,Yes,Neutral,No Opinion,To a moderate extent,Mostly Unfamiliar,15206
260165387,02/20/2017 6:06:57 AM PST,02/20/2017 6:08:35 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,4,5,Yes,Yes,No,No,Yes,Disagree,Actively Support,To a large extent,Mostly familiar,15221
260165458,02/20/2017 6:10:27 AM PST,02/20/2017 6:15:05 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,2,4,Yes,Not sure,Yes,No,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15224
260165627,02/20/2017 6:18:12 AM PST,02/20/2017 6:22:49 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,3,4,Yes,Not sure,No,No,Yes,Neutral,Neither Support nor Oppose,To little extent,Somewhat familiar,15217
260165759,02/20/2017 6:23:41 AM PST,02/20/2017 7:42:44 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Approve,3,3,Yes,Yes,Not sure,No,Yes,Neutral,Actively Support,To some extent,Somewhat familiar,15201
260166025,02/20/2017 6:33:35 AM PST,02/20/2017 6:35:30 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,2,5,Yes,Not sure,No,No,No,Disagree,Neither Support nor Oppose,To a large extent,Extremely familiar,15217
260166208,02/20/2017 6:40:40 AM PST,02/20/2017 6:56:40 AM PST,COMPLETE,Survey Link,No,Yes,2,Approve,4,5,Yes,Not sure,Not sure,Not sure,Yes,Agree,Neither Support nor Oppose,To a large extent,Extremely familiar,15202
260166330,02/20/2017 6:46:50 AM PST,02/20/2017 6:49:45 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Neutral,3,3,Yes,Yes,Yes,Yes,Yes,Neutral,No Opinion,To little extent,Not familiar at all,15206
260166352,02/20/2017 6:47:51 AM PST,02/20/2017 6:53:27 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,2,4,Maybe,Yes,No,No,No,Agree,Actively Support,To a moderate extent,Mostly familiar,15212
260167294,02/20/2017 7:31:58 AM PST,02/20/2017 7:36:50 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,4,Yes,Yes,Not sure,No,Yes,Neutral,Actively Support,To some extent,Mostly Unfamiliar,15217
260167536,02/20/2017 7:42:52 AM PST,02/20/2017 7:47:43 AM PST,COMPLETE,Survey Link,Not sure,Yes,2,Approve,2,4,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15206
260171430,02/20/2017 11:22:30 AM PST,02/20/2017 11:26:44 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Disapprove,3,3,Yes,Yes,No,No,Yes,Disagree,Actively Support,To some extent,Somewhat familiar,15212
260171634,02/20/2017 11:35:21 AM PST,02/20/2017 11:41:52 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Somewhat Disapprove,4,4,Yes,Yes,Not sure,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15218
260171643,02/20/2017 11:35:52 AM PST,02/20/2017 11:39:32 AM PST,COMPLETE,Survey Link,Yes,No,2,Neutral,3,No experience,Maybe,Not sure,Not sure,Yes,Yes,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,15221
260171863,02/20/2017 11:47:20 AM PST,02/20/2017 1:06:25 PM PST,COMPLETE,Survey Link,No,No,2,Approve,5,5,Yes,Yes,Not sure,Not sure,Yes,Agree,Actively Support,To some extent,Somewhat familiar,15136
260171886,02/20/2017 11:48:07 AM PST,02/20/2017 11:51:39 AM PST,COMPLETE,Survey Link,No,Yes,2,Somewhat Disapprove,3,4,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15129
260173467,02/20/2017 12:48:09 PM PST,02/20/2017 12:54:20 PM PST,COMPLETE,Survey Link,Yes,No,2,Approve,3,5,Yes,Not sure,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15217
260174165,02/20/2017 12:59:24 PM PST,02/20/2017 1:09:08 PM PST,COMPLETE,Survey Link,Yes,Not sure,2,Somewhat Approve,2,4,Yes,Yes,Not sure,Not sure,Yes,Neutral,Actively Support,To a moderate extent,Mostly Unfamiliar,15201
260174244,02/20/2017 1:01:13 PM PST,02/20/2017 1:07:59 PM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,4,Yes,Not sure,No,No,No,Disagree,Actively Support,To a large extent,Extremely familiar,15212
260178162,02/20/2017 2:59:56 PM PST,02/20/2017 3:11:48 PM PST,COMPLETE,Survey Link,No,Yes,2,Approve,2,5,Yes,No,Yes,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15131
260180851,02/20/2017 4:37:19 PM PST,02/20/2017 4:40:26 PM PST,COMPLETE,Survey Link,No,Yes,2,Neutral,3,3,Maybe,Yes,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Not familiar at all,15090
260183601,02/20/2017 6:42:34 PM PST,02/20/2017 6:51:03 PM PST,COMPLETE,Survey Link,No,No,2,Somewhat Approve,4,4,Yes,Yes,No,Not sure,Yes,Neutral,Neither Support nor Oppose,To a large extent,Mostly familiar,15024
260185031,02/20/2017 7:42:29 PM PST,02/20/2017 7:55:11 PM PST,COMPLETE,Survey Link,Yes,No,2,Approve,3,4,Yes,Yes,Yes,No,Not sure,Neutral,No Opinion,To a moderate extent,Somewhat familiar,15201
260213923,02/21/2017 3:22:46 AM PST,02/21/2017 3:26:06 AM PST,COMPLETE,Survey Link,No,Yes,2,Neutral,3,2,No,Not sure,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15235
260216030,02/21/2017 5:31:38 AM PST,02/21/2017 5:36:17 AM PST,COMPLETE,Survey Link,Yes,Yes,2,Approve,3,3,Not sure,Not sure,Not sure,Not sure,Not sure,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,15201
260218356,02/21/2017 7:23:22 AM PST,02/21/2017 7:30:11 AM PST,COMPLETE,Survey Link,Yes,No,2,Approve,3,3,Maybe,Not sure,Yes,Yes,Not sure,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15206
259891240,02/15/2017 12:34:29 PM PST,02/15/2017 12:39:20 PM PST,COMPLETE,Survey Link,Not sure,Yes,1,Approve,2,5,Yes,Yes,No,No,Yes,Strongly Disagree,No Opinion,To a moderate extent,Somewhat familiar,15222
259905970,02/15/2017 1:02:43 PM PST,02/15/2017 1:10:24 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,4,Yes,Not sure,No,No,Not sure,Neutral,Actively Support,To little extent,Mostly familiar,15217
259908129,02/15/2017 1:10:47 PM PST,02/15/2017 1:17:11 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,3,5,Yes,No,No,No,No,Strongly Agree,Actively Support,To a large extent,Somewhat familiar,15212
260004862,02/16/2017 3:13:29 AM PST,02/16/2017 3:17:36 AM PST,COMPLETE,Survey Link,Yes,Yes,1,Somewhat Approve,3,4,Yes,No,No,Not sure,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15205
260010933,02/16/2017 5:34:33 AM PST,02/16/2017 5:44:26 AM PST,COMPLETE,Survey Link,Yes,Yes,1,Somewhat Approve,2,4,Yes,Yes,Yes,Not sure,Yes,Agree,Actively Support,To a large extent,Extremely familiar,15206
260073461,02/17/2017 2:16:09 PM PST,02/17/2017 2:22:54 PM PST,COMPLETE,Survey Link,Yes,Yes,1,Approve,2,5,Yes,No,No,Yes,Yes,Neutral,Actively Support,To a large extent,Extremely familiar,15212
260133202,02/19/2017 4:57:55 PM PST,02/19/2017 5:00:13 PM PST,COMPLETE,Survey Link,Yes,Not sure,1,Approve,2,4,Maybe,Yes,Yes,Yes,Yes,Neutral,Neither Support nor Oppose,To a large extent,Somewhat familiar,15213
260176274,02/20/2017 1:51:09 PM PST,02/21/2017 6:25:27 AM PST,COMPLETE,Survey Link,Not sure,Yes,1,Approve,2,5,Yes,No,No,No,Yes,Neutral,Actively Support,To a large extent,Mostly familiar,15213
259887317,02/15/2017 12:19:48 PM PST,02/15/2017 12:22:47 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Maybe,Yes,Yes,No,No,Neutral,No Opinion,To little extent,Somewhat familiar,15101
259887333,02/15/2017 12:19:55 PM PST,02/15/2017 12:27:32 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,Maybe,Yes,No,Yes,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15206
259887370,02/15/2017 12:20:33 PM PST,02/15/2017 12:25:51 PM PST,COMPLETE,Survey Link,No,Not sure,,Approve,No experience,No experience,Yes,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To a large extent,Somewhat familiar,15201
259887392,02/15/2017 12:21:07 PM PST,02/15/2017 12:23:41 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,Yes,No,Yes,Yes,Neutral,Neither Support nor Oppose,Not at all,Not familiar at all,15218
259887401,02/15/2017 12:21:21 PM PST,02/15/2017 12:24:15 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Yes,Yes,Yes,No,Yes,Agree,Actively Support,To a moderate extent,Mostly familiar,15217
259887437,02/15/2017 12:22:25 PM PST,02/15/2017 12:28:47 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,4,Yes,Yes,Yes,No,No,Agree,Actively Support,To a large extent,Extremely familiar,15017
259887442,02/15/2017 12:22:35 PM PST,02/15/2017 12:28:11 PM PST,COMPLETE,Survey Link,Not sure,Yes,,Approve,3,4,Yes,Not sure,No,No,Not sure,Disagree,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15215
259887468,02/15/2017 12:23:12 PM PST,02/15/2017 12:27:13 PM PST,COMPLETE,Survey Link,No,No,,Neutral,2,3,Yes,Yes,No,Not sure,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15228
259887472,02/15/2017 12:23:25 PM PST,02/15/2017 12:28:15 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,No experience,Yes,Yes,Not sure,Not sure,Not sure,Agree,Neither Support nor Oppose,To a large extent,Extremely familiar,15217
259887487,02/15/2017 12:24:25 PM PST,02/15/2017 12:26:50 PM PST,COMPLETE,Survey Link,No,Yes,,Approve,2,1,Yes,Yes,No,No,No,Neutral,Actively Support,To some extent,Mostly familiar,15232
259887544,02/15/2017 12:27:22 PM PST,02/15/2017 12:31:36 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,3,Yes,Not sure,No,No,No,Strongly Disagree,Neither Support nor Oppose,To a large extent,Mostly familiar,15024
259887549,02/15/2017 12:27:36 PM PST,02/15/2017 1:30:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259887553,02/15/2017 12:27:49 PM PST,02/15/2017 12:35:32 PM PST,COMPLETE,Survey Link,No,No,,Disapprove,2,No experience,No,Yes,Yes,Yes,Yes,Agree,Actively Oppose,To some extent,Mostly Unfamiliar,15201
259887566,02/15/2017 12:28:40 PM PST,02/15/2017 12:31:07 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,Yes,Yes,Yes,No,Yes,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15217
259889337,02/15/2017 12:32:17 PM PST,02/15/2017 12:42:07 PM PST,COMPLETE,Survey Link,No,No,,Approve,1,5,Yes,No,No,No,Yes,Neutral,Actively Support,To a large extent,Somewhat familiar,15216
259893644,02/15/2017 12:37:57 PM PST,02/15/2017 1:40:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259899985,02/15/2017 12:49:07 PM PST,02/15/2017 1:03:06 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,Yes,No,No,Yes,Disagree,Actively Support,To a large extent,Mostly familiar,15218
259900145,02/15/2017 12:49:24 PM PST,02/15/2017 1:44:37 PM PST,COMPLETE,Survey Link,Yes,No,,Approve,2,4,Yes,Yes,Not sure,Not sure,Yes,Strongly Agree,Actively Support,To a large extent,Mostly familiar,15211
259903092,02/15/2017 12:56:09 PM PST,02/15/2017 12:59:13 PM PST,COMPLETE,Survey Link,No,No,,Neutral,2,1,No,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15217
259905081,02/15/2017 1:00:39 PM PST,02/15/2017 1:04:29 PM PST,COMPLETE,Survey Link,Yes,Yes,,Approve,2,4,Yes,Yes,Yes,Not sure,Yes,Neutral,Actively Support,To a moderate extent,Mostly familiar,15202
259905576,02/15/2017 1:01:52 PM PST,02/15/2017 2:05:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259905670,02/15/2017 1:02:08 PM PST,02/15/2017 1:03:35 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,2,Yes,Not sure,No,No,Yes,Disagree,Neither Support nor Oppose,To some extent,Somewhat familiar,11211
259906062,02/15/2017 1:02:58 PM PST,02/15/2017 1:07:44 PM PST,COMPLETE,Survey Link,No,No,,Neutral,2,3,Maybe,Yes,Not sure,Yes,Yes,Agree,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15224
259907071,02/15/2017 1:06:22 PM PST,02/15/2017 1:09:08 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,2,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15215
259907721,02/15/2017 1:09:00 PM PST,02/15/2017 2:15:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259907840,02/15/2017 1:09:36 PM PST,02/15/2017 1:12:37 PM PST,COMPLETE,Survey Link,No,No,,Approve,No experience,No experience,Maybe,Yes,Yes,Yes,Yes,Agree,Actively Support,To some extent,Not familiar at all,26003
259908158,02/15/2017 1:10:53 PM PST,02/15/2017 1:17:28 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Neutral,3,2,Yes,Yes,No,No,Yes,Agree,Actively Support,To a moderate extent,Extremely familiar,15218
259908404,02/15/2017 1:11:47 PM PST,02/15/2017 1:15:52 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,Yes,Yes,No,Yes,Disagree,Neither Support nor Oppose,To a moderate extent,Mostly familiar,15221
259908839,02/15/2017 1:13:38 PM PST,02/15/2017 1:19:33 PM PST,COMPLETE,Survey Link,No,Yes,,Somewhat Approve,3,3,Yes,Yes,No,Not sure,Yes,Agree,Actively Support,To a large extent,Mostly familiar,15222
259910093,02/15/2017 1:18:36 PM PST,02/15/2017 1:23:56 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,3,Yes,Yes,Yes,Yes,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15201
259911106,02/15/2017 1:22:11 PM PST,02/15/2017 1:29:11 PM PST,COMPLETE,Survey Link,No,No,,Approve,4,4,Yes,Yes,No,No,No,Disagree,Neither Support nor Oppose,To a large extent,Mostly familiar,15217
259911400,02/15/2017 1:23:24 PM PST,02/15/2017 1:36:11 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,3,Maybe,Yes,Not sure,No,Not sure,Neutral,Neither Support nor Oppose,To a moderate extent,Somewhat familiar,15205
259912130,02/15/2017 1:26:14 PM PST,02/15/2017 1:29:23 PM PST,COMPLETE,Survey Link,Yes,Yes,,Approve,3,5,Yes,Yes,Yes,No,Not sure,Agree,Actively Support,To some extent,Somewhat familiar,15219
259912743,02/15/2017 1:28:59 PM PST,02/15/2017 1:38:20 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Somewhat Approve,2,No experience,Maybe,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15146
259912744,02/15/2017 1:28:59 PM PST,02/15/2017 2:35:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259912789,02/15/2017 1:29:09 PM PST,02/15/2017 1:36:32 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,No experience,Maybe,Yes,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Mostly Unfamiliar,15206
259912943,02/15/2017 1:29:52 PM PST,02/15/2017 2:35:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259913409,02/15/2017 1:31:41 PM PST,02/15/2017 1:40:18 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,3,Yes,Yes,Not sure,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15229
259914487,02/15/2017 1:35:55 PM PST,02/15/2017 1:58:21 PM PST,COMPLETE,Survey Link,No,No,,Neutral,3,3,Maybe,Yes,Not sure,Not sure,Yes,Neutral,No Opinion,To some extent,Somewhat familiar,15110
259914805,02/15/2017 1:37:21 PM PST,02/15/2017 1:44:04 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,5,Yes,Yes,No,No,Yes,Agree,Actively Support,To a moderate extent,Somewhat familiar,15120
259914868,02/15/2017 1:37:33 PM PST,02/15/2017 1:44:46 PM PST,COMPLETE,Survey Link,No,No,,Approve,4,5,Yes,Yes,Yes,No,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15217
259917022,02/15/2017 1:46:13 PM PST,02/15/2017 2:55:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259917179,02/15/2017 1:47:06 PM PST,02/15/2017 1:57:45 PM PST,COMPLETE,Survey Link,No,No,,Approve,2,No experience,Yes,Yes,Not sure,Not sure,Not sure,Neutral,Neither Support nor Oppose,To a large extent,Mostly Unfamiliar,15203
259918070,02/15/2017 1:50:01 PM PST,02/15/2017 2:04:05 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,2,5,Yes,Not sure,No,No,Not sure,Agree,Actively Support,To a large extent,Extremely familiar,15221
259918593,02/15/2017 1:52:20 PM PST,02/15/2017 1:54:14 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Yes,Yes,No,No,No,Disagree,Actively Support,To a large extent,Extremely familiar,15217
259919727,02/15/2017 1:56:53 PM PST,02/15/2017 1:58:36 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,2,3,Yes,Yes,No,No,Yes,Disagree,Neither Support nor Oppose,To a large extent,Extremely familiar,15217
259920604,02/15/2017 2:01:10 PM PST,02/15/2017 2:04:02 PM PST,COMPLETE,Survey Link,No,No,,Neutral,3,3,Yes,Yes,Not sure,Not sure,No,Agree,Neither Support nor Oppose,To some extent,Mostly Unfamiliar,15212
259920713,02/15/2017 2:01:47 PM PST,02/15/2017 2:09:47 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Approve,2,3,Yes,Yes,Yes,No,No,Disagree,Actively Support,To a moderate extent,Somewhat familiar,15139
259921043,02/15/2017 2:03:20 PM PST,02/15/2017 2:06:18 PM PST,COMPLETE,Survey Link,No,No,,Neutral,2,4,Yes,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Somewhat familiar,15063
259922197,02/15/2017 2:08:13 PM PST,02/15/2017 2:12:16 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Disapprove,2,2,Not sure,Yes,Yes,Yes,Yes,Agree,Neither Support nor Oppose,To some extent,Somewhat familiar,16033
259923417,02/15/2017 2:14:19 PM PST,02/15/2017 2:21:53 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,No experience,Yes,Yes,No,Not sure,No,Neutral,Neither Support nor Oppose,To a moderate extent,Mostly Unfamiliar,15071
259923473,02/15/2017 2:14:43 PM PST,02/15/2017 2:17:17 PM PST,COMPLETE,Survey Link,Yes,No,,Approve,4,4,Yes,No,Yes,No,Not sure,Disagree,Neither Support nor Oppose,To little extent,Mostly Unfamiliar,15201
259924745,02/15/2017 2:21:57 PM PST,02/15/2017 3:25:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259924983,02/15/2017 2:23:16 PM PST,02/15/2017 2:33:45 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,4,Maybe,Yes,No,Yes,Yes,Agree,Actively Support,To some extent,Mostly Unfamiliar,17363
259925382,02/15/2017 2:25:14 PM PST,02/15/2017 2:32:19 PM PST,COMPLETE,Survey Link,No,No,,Somewhat Approve,3,2,Not sure,No,Yes,Not sure,Yes,Neutral,Neither Support nor Oppose,To little extent,Not familiar at all,15228
259926818,02/15/2017 2:31:39 PM PST,02/15/2017 3:50:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259928691,02/15/2017 2:42:40 PM PST,02/15/2017 2:46:30 PM PST,COMPLETE,Survey Link,Not sure,No,,Somewhat Disapprove,1,3,Yes,Yes,Yes,Not sure,Yes,Agree,Neither Support nor Oppose,To little extent,Mostly Unfamiliar,15212
259928912,02/15/2017 2:43:55 PM PST,02/15/2017 3:50:23 PM PST,INCOMPLETE,Survey Link,,,,,,,,,,,,,,,,
259929351,02/15/2017 2:45:33 PM PST,02/15/2017 2:55:12 PM PST,COMPLETE,Survey Link,Not sure,Not sure,,Disapprove,4,1,No,Yes,Yes,Yes,Yes,Strongly Agree,Actively Oppose,To a large extent,Extremely familiar,15232
259930799,02/15/2017 2:53:43 PM PST,02/15/2017 2:56:47 PM PST,COMPLETE,Survey Link,No,No,,Neutral,1,No experience,Not sure,Not sure,Yes,Not sure,Yes,Neutral,No Opinion,To some extent,Not familiar at all,15131
259931840,02/15/2017 2:59:45 PM PST,02/15/2017 3:08:07 PM PST,COMPLETE,Survey Link,No,No,,Approve,3,4,Yes,Yes,Not sure,Not sure,Yes,Neutral,Actively Support,To a moderate extent,Somewhat familiar,15203
